sample	cluster_assigned	method
BS_014EVM2D	1	dbscan
BS_02NZT8CE	1	dbscan
BS_044XZ8ST	1	dbscan
BS_063ERW0R	1	dbscan
BS_06AMMCXR	1	dbscan
BS_0D5VRAKC	1	dbscan
BS_0J9SHHSC	1	dbscan
BS_0JAKSXQP	1	dbscan
BS_0SCXXM6N	1	dbscan
BS_0T17SY47	1	dbscan
BS_0WVJYM9R	1	dbscan
BS_0WZKC4JH	1	dbscan
BS_0X9EGHY2	1	dbscan
BS_0Y5J2AQ4	1	dbscan
BS_0Y66ZBWE	1	dbscan
BS_130PVKA7	1	dbscan
BS_13CGKADW	1	dbscan
BS_166N7SZQ	1	dbscan
BS_16KA9ZAW	1	dbscan
BS_17WYVEEC	1	dbscan
BS_1DECYC4K	1	dbscan
BS_1G3WYEN3	1	dbscan
BS_1HYS8CSC	1	dbscan
BS_1JDG6JV5	1	dbscan
BS_1KYGSMA7	1	dbscan
BS_1N76FQZY	1	dbscan
BS_1NPD7PVG	1	dbscan
BS_1RXZ3BP7	1	dbscan
BS_1VNMJHMN	1	dbscan
BS_1Z9AX9JS	1	dbscan
BS_1ZVXF5FE	1	dbscan
BS_21RE8W46	1	dbscan
BS_21XGYWWV	1	dbscan
BS_23W9EPFE	1	dbscan
BS_24AHZ9ZW	1	dbscan
BS_258RRGDM	1	dbscan
BS_25T139TX	1	dbscan
BS_2720P44V	1	dbscan
BS_27FYYPJG	1	dbscan
BS_27QE6BV7	1	dbscan
BS_29CPJ040	1	dbscan
BS_29TRQXWM	1	dbscan
BS_2ADZNNV4	1	dbscan
BS_2AR3AP0N	1	dbscan
BS_2E9VDD00	1	dbscan
BS_2EMW8ZG3	1	dbscan
BS_2JGY1SAM	1	dbscan
BS_2KJ2YAZR	1	dbscan
BS_2QCQYY6M	1	dbscan
BS_2R9HK6YY	1	dbscan
BS_2R9TCR03	1	dbscan
BS_2WPQ8YCW	1	dbscan
BS_2XM08BFY	1	dbscan
BS_2YCJV2VV	1	dbscan
BS_304SPN6B	1	dbscan
BS_33AQSPRP	1	dbscan
BS_3BVVWHP5	1	dbscan
BS_3EVSN5QD	1	dbscan
BS_3G3KWY18	1	dbscan
BS_3GAN6Q43	1	dbscan
BS_3H71BH6Q	1	dbscan
BS_3P20Q2C3	1	dbscan
BS_3PYESPHA	1	dbscan
BS_3Q0GTSYH	1	dbscan
BS_3TFMJH30	1	dbscan
BS_3TJHY996	1	dbscan
BS_3TQSE8HF	1	dbscan
BS_3VJ0CA6A	1	dbscan
BS_3W07B2TG	1	dbscan
BS_3XY76V8T	1	dbscan
BS_3Y2X2RBJ	1	dbscan
BS_401R3KV0	1	dbscan
BS_42DY6WS7	1	dbscan
BS_42Y3YANN	1	dbscan
BS_470DYRJQ	1	dbscan
BS_474A88X1	1	dbscan
BS_478TN841	1	dbscan
BS_47SJZ3PH	1	dbscan
BS_49852ZBH	1	dbscan
BS_4A45GGSW	1	dbscan
BS_4BWB0FA0	1	dbscan
BS_4C4MZ4NT	1	dbscan
BS_4CXE5XEP	1	dbscan
BS_4EN8D8Y4	1	dbscan
BS_4GTESTSE	1	dbscan
BS_4HQ3T2NC	1	dbscan
BS_4K2TNJ8R	0	dbscan
BS_4N1GNHX4	1	dbscan
BS_4NF35AF6	1	dbscan
BS_4TZQY7TT	1	dbscan
BS_4W1PKKYD	1	dbscan
BS_4XH092HE	1	dbscan
BS_4Y2JAQTS	1	dbscan
BS_4Y6BCYK5	1	dbscan
BS_4Y93HVP4	1	dbscan
BS_4Z2F4P9N	1	dbscan
BS_503DZ8BN	1	dbscan
BS_52426AMF	1	dbscan
BS_52DAPP1Y	1	dbscan
BS_534XRSNB	1	dbscan
BS_53GQKVEX	1	dbscan
BS_54H90JW2	1	dbscan
BS_55JW3HFM	1	dbscan
BS_55P8HPYD	1	dbscan
BS_55X1W2MR	1	dbscan
BS_57NMZPS0	1	dbscan
BS_593HEWBF	1	dbscan
BS_5CMGN56B	1	dbscan
BS_5J5D3QTD	1	dbscan
BS_5JM573JC	0	dbscan
BS_5K3R0F5D	1	dbscan
BS_5NWDARXG	1	dbscan
BS_5PV5N4HQ	1	dbscan
BS_5YJEPPTP	1	dbscan
BS_5YYCP891	1	dbscan
BS_60DX1WQ5	1	dbscan
BS_63F8QR26	1	dbscan
BS_63JT39PX	1	dbscan
BS_65ZBBMMZ	1	dbscan
BS_66ABA973	1	dbscan
BS_66HQ3E4Z	1	dbscan
BS_680K119G	1	dbscan
BS_68BW2163	1	dbscan
BS_699TN5RN	1	dbscan
BS_6HXD39AM	1	dbscan
BS_6N3AFF66	1	dbscan
BS_6NTXGQAC	1	dbscan
BS_6P50QTPP	1	dbscan
BS_6TSAVMT9	1	dbscan
BS_6VF6VPCG	1	dbscan
BS_6VW8FC7Z	1	dbscan
BS_71GFQYV5	1	dbscan
BS_769BDPDB	1	dbscan
BS_76DRXZRJ	1	dbscan
BS_775HDFNY	1	dbscan
BS_77CDMEY4	1	dbscan
BS_7ARDVFCP	1	dbscan
BS_7H4RFCW9	1	dbscan
BS_7M3FNSYK	1	dbscan
BS_7MGXMG6S	1	dbscan
BS_7N0B2CY1	1	dbscan
BS_7P83Z28P	1	dbscan
BS_7XRN3CFX	1	dbscan
BS_7Z93ZYMS	1	dbscan
BS_880ESDFZ	1	dbscan
BS_8BF616QR	1	dbscan
BS_8J3B6ZB6	1	dbscan
BS_8PE0ZBXN	1	dbscan
BS_8Q4JWFKK	1	dbscan
BS_8Q7Z32DD	1	dbscan
BS_8QJ43WKW	1	dbscan
BS_8RCR7Y4B	1	dbscan
BS_8SKZ7BRN	1	dbscan
BS_8TR7980G	1	dbscan
BS_8VAZSJEN	1	dbscan
BS_8Z3SCKB5	1	dbscan
BS_912NX4Y0	1	dbscan
BS_92HCM7BN	1	dbscan
BS_9477AG24	1	dbscan
BS_94MT16N2	1	dbscan
BS_9755PSCS	1	dbscan
BS_97GBG8T6	1	dbscan
BS_9BJARSX3	1	dbscan
BS_9DFBHHB5	1	dbscan
BS_9DZ253JY	1	dbscan
BS_9F09XV62	1	dbscan
BS_9H7A00PV	1	dbscan
BS_9HSGV9TJ	1	dbscan
BS_9JBX2E8G	1	dbscan
BS_9P9MB8X8	1	dbscan
BS_9Q6Z6VJC	1	dbscan
BS_9RT63JD9	1	dbscan
BS_9S7AG4EN	1	dbscan
BS_9SJWWYQ4	1	dbscan
BS_9YXH2CZ0	1	dbscan
BS_A13BMEF5	1	dbscan
BS_A1V3BH0Z	1	dbscan
BS_A1VEGWTR	1	dbscan
BS_A46RDWGM	1	dbscan
BS_A76PNWQS	0	dbscan
BS_A7W82CVE	1	dbscan
BS_A96FKXN5	1	dbscan
BS_AD4JPN9Q	1	dbscan
BS_AG3D3435	1	dbscan
BS_AKRHBPNZ	1	dbscan
BS_AKT8HK8J	1	dbscan
BS_AM0BZ61K	1	dbscan
BS_AP0SZ364	1	dbscan
BS_ARBQDTT5	1	dbscan
BS_ATHSTZ5R	1	dbscan
BS_AV9PD1CR	1	dbscan
BS_AVYNZHSB	1	dbscan
BS_AW7J9F9R	1	dbscan
BS_B0SVFK4P	1	dbscan
BS_B1J776DQ	1	dbscan
BS_B1SF3H8Z	1	dbscan
BS_B2QMR6Z9	1	dbscan
BS_B3M5SGPA	1	dbscan
BS_B5JM6T8K	1	dbscan
BS_B6JKQFKA	1	dbscan
BS_B6M763JS	1	dbscan
BS_B7GEH89C	1	dbscan
BS_B7X8VXQ3	1	dbscan
BS_BAG042V5	1	dbscan
BS_BANCTAV6	1	dbscan
BS_BC936YNZ	1	dbscan
BS_BGRPWBNG	1	dbscan
BS_BJBM0BN7	1	dbscan
BS_BKQZ550R	1	dbscan
BS_BN986DF6	1	dbscan
BS_BNECCX4D	1	dbscan
BS_BPM1MRGT	1	dbscan
BS_BPSTSCBJ	1	dbscan
BS_BT9KZP0N	1	dbscan
BS_BW79W2PD	1	dbscan
BS_BZCTXEPJ	1	dbscan
BS_C0NEVC2B	1	dbscan
BS_C51RB0YR	1	dbscan
BS_C6SKJG3N	1	dbscan
BS_C7A2TYAC	1	dbscan
BS_C8KEG501	1	dbscan
BS_CB6VK7PB	1	dbscan
BS_CC6RREE4	1	dbscan
BS_CGB2WS2A	1	dbscan
BS_CH8Q6FCN	1	dbscan
BS_CKX8RW1J	1	dbscan
BS_CM14SRVX	1	dbscan
BS_CMDJJQ7K	1	dbscan
BS_CS170P7T	1	dbscan
BS_CTR5X93B	1	dbscan
BS_CVGFNCBJ	1	dbscan
BS_CVGPSXV7	1	dbscan
BS_CX7NH77G	1	dbscan
BS_D3YBV7KB	1	dbscan
BS_DEHJF4C7	1	dbscan
BS_DGWXNSPK	1	dbscan
BS_DMJHAG9X	1	dbscan
BS_DMZP9G1H	1	dbscan
BS_DPF1CX0G	1	dbscan
BS_DSS3S5XD	1	dbscan
BS_DV86M0Y7	1	dbscan
BS_DZ4B5A40	1	dbscan
BS_DZFV0CFA	1	dbscan
BS_E0XXZRKS	1	dbscan
BS_E1B3BKYA	1	dbscan
BS_E1CGF3KV	1	dbscan
BS_E2DEWCSK	1	dbscan
BS_E3EJHXQV	1	dbscan
BS_E4GC9EXR	1	dbscan
BS_E4QK839R	1	dbscan
BS_E6DT3HPT	1	dbscan
BS_E94QRJDW	1	dbscan
BS_EBMCTR80	1	dbscan
BS_ECGQWHNQ	1	dbscan
BS_EFEZB0ZH	1	dbscan
BS_EHVYJAVA	1	dbscan
BS_EMAJ7P3P	1	dbscan
BS_EN2VK7NY	1	dbscan
BS_ERJAJ0KA	1	dbscan
BS_ERJT2RFF	1	dbscan
BS_ET8CJXSF	1	dbscan
BS_EXGBH3TD	1	dbscan
BS_EXYHZ6D4	1	dbscan
BS_EY2B6KD0	1	dbscan
BS_EYSS0ZDS	1	dbscan
BS_EYYMKWB7	1	dbscan
BS_F0ZP45KB	1	dbscan
BS_F1K9QTBS	1	dbscan
BS_F349AQKV	1	dbscan
BS_F37P8QT7	1	dbscan
BS_F4E8R9VY	1	dbscan
BS_F77MGAQT	1	dbscan
BS_F8N6CFQE	1	dbscan
BS_FAQQ0GCQ	1	dbscan
BS_FGQA2S06	1	dbscan
BS_FJWZ3M7V	1	dbscan
BS_FJZPQZ2C	1	dbscan
BS_FR42HY0Z	1	dbscan
BS_FZRCFK0W	1	dbscan
BS_G1DAGKSY	1	dbscan
BS_G5QBBHDV	1	dbscan
BS_G7AGNB5G	1	dbscan
BS_G9219PMD	1	dbscan
BS_G9XE3N9T	1	dbscan
BS_GCA4GET3	1	dbscan
BS_GHNJ4CYC	1	dbscan
BS_GHZJ8FX3	1	dbscan
BS_GMF4ABXJ	1	dbscan
BS_GPEGRCCT	1	dbscan
BS_GTZCFGRZ	1	dbscan
BS_GWCRMKE6	1	dbscan
BS_GYA4V1RD	1	dbscan
BS_GYXSDZ56	1	dbscan
BS_H0TJS3RZ	1	dbscan
BS_H0WF1WHE	1	dbscan
BS_H3FE3TH9	1	dbscan
BS_H8A9PSYA	1	dbscan
BS_H9EX5WX3	1	dbscan
BS_HA20Y4XY	1	dbscan
BS_HC5M8JTC	1	dbscan
BS_HK9P0Q4G	1	dbscan
BS_HM0R6SXQ	1	dbscan
BS_HNMQ7488	1	dbscan
BS_HPEYQCY8	1	dbscan
BS_HQ5BJ6MW	1	dbscan
BS_HQDXQ5Y4	1	dbscan
BS_HQNTHFJT	0	dbscan
BS_HQYGYPCV	1	dbscan
BS_HSHN8PBB	1	dbscan
BS_HSPV8GXC	1	dbscan
BS_HSTNFPKW	1	dbscan
BS_HV8PFRBR	1	dbscan
BS_HWVD3RH0	1	dbscan
BS_HX0S30NE	1	dbscan
BS_J5H5VXWY	1	dbscan
BS_J6VKB1VE	1	dbscan
BS_J9M83K8T	1	dbscan
BS_JFR750KD	1	dbscan
BS_JG9JZTA9	1	dbscan
BS_JGKZ54SA	1	dbscan
BS_JH29M4KG	1	dbscan
BS_JKDKZSX8	1	dbscan
BS_JKXA3FQC	1	dbscan
BS_JMHG7GCN	1	dbscan
BS_JN3S2H2Z	1	dbscan
BS_JNXMRAW1	0	dbscan
BS_JVA2NQFF	1	dbscan
BS_JWSR581E	1	dbscan
BS_JX4QBM9G	1	dbscan
BS_K2VYFVKZ	1	dbscan
BS_K57A4A9D	1	dbscan
BS_K5802F84	1	dbscan
BS_K7MVS0Z7	1	dbscan
BS_K838XW6V	1	dbscan
BS_K8ZGHV4D	1	dbscan
BS_KEA474HN	1	dbscan
BS_KPT2WPHW	1	dbscan
BS_KSC2H2HV	1	dbscan
BS_KT975AEF	1	dbscan
BS_KVV7001W	1	dbscan
BS_KX6J8TRK	1	dbscan
BS_M2WPG4K6	1	dbscan
BS_M4NVX721	1	dbscan
BS_M4TTKPNR	1	dbscan
BS_M62BBERH	1	dbscan
BS_M8M56Z4Y	1	dbscan
BS_M8WP5T16	1	dbscan
BS_MBQND18D	1	dbscan
BS_MBSTWZA6	1	dbscan
BS_MCNKFZDF	1	dbscan
BS_ME3HKN2C	1	dbscan
BS_MF47B9ZW	1	dbscan
BS_MF9X3PKH	1	dbscan
BS_MX92FD6D	1	dbscan
BS_MY9D8XZ1	1	dbscan
BS_N1E0H8YQ	1	dbscan
BS_N210XMKR	1	dbscan
BS_N5B2CZMH	1	dbscan
BS_N6NE6B3W	1	dbscan
BS_N87X1T8T	1	dbscan
BS_NB5XWMJT	1	dbscan
BS_NBZNAG7Q	1	dbscan
BS_NG9X6SJA	1	dbscan
BS_NPQJ20KX	1	dbscan
BS_NQB91P48	1	dbscan
BS_NRFQEQKP	1	dbscan
BS_NRPG5K4K	1	dbscan
BS_NS7GSHB9	1	dbscan
