sample	cluster_assigned	method
BS_014EVM2D	0	hdbscan
BS_02NZT8CE	0	hdbscan
BS_044XZ8ST	2	hdbscan
BS_063ERW0R	2	hdbscan
BS_06AMMCXR	0	hdbscan
BS_0D5VRAKC	0	hdbscan
BS_0J9SHHSC	2	hdbscan
BS_0JAKSXQP	0	hdbscan
BS_0SCXXM6N	2	hdbscan
BS_0T17SY47	0	hdbscan
BS_0WVJYM9R	0	hdbscan
BS_0WZKC4JH	0	hdbscan
BS_0X9EGHY2	0	hdbscan
BS_0Y5J2AQ4	1	hdbscan
BS_0Y66ZBWE	0	hdbscan
BS_130PVKA7	0	hdbscan
BS_13CGKADW	0	hdbscan
BS_166N7SZQ	0	hdbscan
BS_16KA9ZAW	0	hdbscan
BS_17WYVEEC	2	hdbscan
BS_1DECYC4K	0	hdbscan
BS_1G3WYEN3	2	hdbscan
BS_1HYS8CSC	1	hdbscan
BS_1JDG6JV5	0	hdbscan
BS_1KYGSMA7	0	hdbscan
BS_1N76FQZY	0	hdbscan
BS_1NPD7PVG	2	hdbscan
BS_1RXZ3BP7	0	hdbscan
BS_1VNMJHMN	1	hdbscan
BS_1Z9AX9JS	0	hdbscan
BS_1ZVXF5FE	2	hdbscan
BS_21RE8W46	0	hdbscan
BS_21XGYWWV	1	hdbscan
BS_23W9EPFE	0	hdbscan
BS_24AHZ9ZW	0	hdbscan
BS_258RRGDM	0	hdbscan
BS_25T139TX	0	hdbscan
BS_2720P44V	0	hdbscan
BS_27FYYPJG	0	hdbscan
BS_27QE6BV7	0	hdbscan
BS_29CPJ040	0	hdbscan
BS_29TRQXWM	1	hdbscan
BS_2ADZNNV4	2	hdbscan
BS_2AR3AP0N	2	hdbscan
BS_2E9VDD00	1	hdbscan
BS_2EMW8ZG3	0	hdbscan
BS_2JGY1SAM	0	hdbscan
BS_2KJ2YAZR	2	hdbscan
BS_2QCQYY6M	1	hdbscan
BS_2R9HK6YY	0	hdbscan
BS_2R9TCR03	0	hdbscan
BS_2WPQ8YCW	2	hdbscan
BS_2XM08BFY	1	hdbscan
BS_2YCJV2VV	0	hdbscan
BS_304SPN6B	1	hdbscan
BS_33AQSPRP	1	hdbscan
BS_3BVVWHP5	0	hdbscan
BS_3EVSN5QD	0	hdbscan
BS_3G3KWY18	2	hdbscan
BS_3GAN6Q43	1	hdbscan
BS_3H71BH6Q	0	hdbscan
BS_3P20Q2C3	0	hdbscan
BS_3PYESPHA	2	hdbscan
BS_3Q0GTSYH	2	hdbscan
BS_3TFMJH30	0	hdbscan
BS_3TJHY996	0	hdbscan
BS_3TQSE8HF	0	hdbscan
BS_3VJ0CA6A	1	hdbscan
BS_3W07B2TG	0	hdbscan
BS_3XY76V8T	0	hdbscan
BS_3Y2X2RBJ	1	hdbscan
BS_401R3KV0	0	hdbscan
BS_42DY6WS7	2	hdbscan
BS_42Y3YANN	2	hdbscan
BS_470DYRJQ	0	hdbscan
BS_474A88X1	0	hdbscan
BS_478TN841	0	hdbscan
BS_47SJZ3PH	0	hdbscan
BS_49852ZBH	2	hdbscan
BS_4A45GGSW	0	hdbscan
BS_4BWB0FA0	0	hdbscan
BS_4C4MZ4NT	2	hdbscan
BS_4CXE5XEP	1	hdbscan
BS_4EN8D8Y4	2	hdbscan
BS_4GTESTSE	0	hdbscan
BS_4HQ3T2NC	2	hdbscan
BS_4K2TNJ8R	0	hdbscan
BS_4N1GNHX4	0	hdbscan
BS_4NF35AF6	0	hdbscan
BS_4TZQY7TT	0	hdbscan
BS_4W1PKKYD	0	hdbscan
BS_4XH092HE	1	hdbscan
BS_4Y2JAQTS	0	hdbscan
BS_4Y6BCYK5	0	hdbscan
BS_4Y93HVP4	1	hdbscan
BS_4Z2F4P9N	0	hdbscan
BS_503DZ8BN	0	hdbscan
BS_52426AMF	0	hdbscan
BS_52DAPP1Y	2	hdbscan
BS_534XRSNB	1	hdbscan
BS_53GQKVEX	0	hdbscan
BS_54H90JW2	0	hdbscan
BS_55JW3HFM	0	hdbscan
BS_55P8HPYD	2	hdbscan
BS_55X1W2MR	0	hdbscan
BS_57NMZPS0	0	hdbscan
BS_593HEWBF	0	hdbscan
BS_5CMGN56B	0	hdbscan
BS_5J5D3QTD	0	hdbscan
BS_5JM573JC	0	hdbscan
BS_5K3R0F5D	2	hdbscan
BS_5NWDARXG	0	hdbscan
BS_5PV5N4HQ	2	hdbscan
BS_5YJEPPTP	2	hdbscan
BS_5YYCP891	0	hdbscan
BS_60DX1WQ5	1	hdbscan
BS_63F8QR26	0	hdbscan
BS_63JT39PX	0	hdbscan
BS_65ZBBMMZ	0	hdbscan
BS_66ABA973	2	hdbscan
BS_66HQ3E4Z	2	hdbscan
BS_680K119G	0	hdbscan
BS_68BW2163	2	hdbscan
BS_699TN5RN	0	hdbscan
BS_6HXD39AM	0	hdbscan
BS_6N3AFF66	2	hdbscan
BS_6NTXGQAC	0	hdbscan
BS_6P50QTPP	0	hdbscan
BS_6TSAVMT9	1	hdbscan
BS_6VF6VPCG	0	hdbscan
BS_6VW8FC7Z	0	hdbscan
BS_71GFQYV5	0	hdbscan
BS_769BDPDB	0	hdbscan
BS_76DRXZRJ	0	hdbscan
BS_775HDFNY	2	hdbscan
BS_77CDMEY4	0	hdbscan
BS_7ARDVFCP	0	hdbscan
BS_7H4RFCW9	0	hdbscan
BS_7M3FNSYK	1	hdbscan
BS_7MGXMG6S	0	hdbscan
BS_7N0B2CY1	2	hdbscan
BS_7P83Z28P	2	hdbscan
BS_7XRN3CFX	2	hdbscan
BS_7Z93ZYMS	2	hdbscan
BS_880ESDFZ	0	hdbscan
BS_8BF616QR	0	hdbscan
BS_8J3B6ZB6	2	hdbscan
BS_8PE0ZBXN	0	hdbscan
BS_8Q4JWFKK	0	hdbscan
BS_8Q7Z32DD	0	hdbscan
BS_8QJ43WKW	0	hdbscan
BS_8RCR7Y4B	0	hdbscan
BS_8SKZ7BRN	0	hdbscan
BS_8TR7980G	0	hdbscan
BS_8VAZSJEN	2	hdbscan
BS_8Z3SCKB5	0	hdbscan
BS_912NX4Y0	0	hdbscan
BS_92HCM7BN	0	hdbscan
BS_9477AG24	0	hdbscan
BS_94MT16N2	0	hdbscan
BS_9755PSCS	2	hdbscan
BS_97GBG8T6	1	hdbscan
BS_9BJARSX3	2	hdbscan
BS_9DFBHHB5	2	hdbscan
BS_9DZ253JY	0	hdbscan
BS_9F09XV62	0	hdbscan
BS_9H7A00PV	0	hdbscan
BS_9HSGV9TJ	0	hdbscan
BS_9JBX2E8G	0	hdbscan
BS_9P9MB8X8	0	hdbscan
BS_9Q6Z6VJC	2	hdbscan
BS_9RT63JD9	2	hdbscan
BS_9S7AG4EN	0	hdbscan
BS_9SJWWYQ4	2	hdbscan
BS_9YXH2CZ0	1	hdbscan
BS_A13BMEF5	2	hdbscan
BS_A1V3BH0Z	0	hdbscan
BS_A1VEGWTR	2	hdbscan
BS_A46RDWGM	0	hdbscan
BS_A76PNWQS	0	hdbscan
BS_A7W82CVE	0	hdbscan
BS_A96FKXN5	0	hdbscan
BS_AD4JPN9Q	0	hdbscan
BS_AG3D3435	0	hdbscan
BS_AKRHBPNZ	2	hdbscan
BS_AKT8HK8J	0	hdbscan
BS_AM0BZ61K	0	hdbscan
BS_AP0SZ364	2	hdbscan
BS_ARBQDTT5	0	hdbscan
BS_ATHSTZ5R	0	hdbscan
BS_AV9PD1CR	1	hdbscan
BS_AVYNZHSB	0	hdbscan
BS_AW7J9F9R	0	hdbscan
BS_B0SVFK4P	0	hdbscan
BS_B1J776DQ	0	hdbscan
BS_B1SF3H8Z	0	hdbscan
BS_B2QMR6Z9	0	hdbscan
BS_B3M5SGPA	0	hdbscan
BS_B5JM6T8K	1	hdbscan
BS_B6JKQFKA	1	hdbscan
BS_B6M763JS	0	hdbscan
BS_B7GEH89C	2	hdbscan
BS_B7X8VXQ3	2	hdbscan
BS_BAG042V5	0	hdbscan
BS_BANCTAV6	0	hdbscan
BS_BC936YNZ	0	hdbscan
BS_BGRPWBNG	0	hdbscan
BS_BJBM0BN7	1	hdbscan
BS_BKQZ550R	2	hdbscan
BS_BN986DF6	2	hdbscan
BS_BNECCX4D	0	hdbscan
BS_BPM1MRGT	0	hdbscan
BS_BPSTSCBJ	2	hdbscan
BS_BT9KZP0N	1	hdbscan
BS_BW79W2PD	0	hdbscan
BS_BZCTXEPJ	1	hdbscan
BS_C0NEVC2B	1	hdbscan
BS_C51RB0YR	0	hdbscan
BS_C6SKJG3N	2	hdbscan
BS_C7A2TYAC	2	hdbscan
BS_C8KEG501	0	hdbscan
BS_CB6VK7PB	2	hdbscan
BS_CC6RREE4	0	hdbscan
BS_CGB2WS2A	0	hdbscan
BS_CH8Q6FCN	0	hdbscan
BS_CKX8RW1J	1	hdbscan
BS_CM14SRVX	0	hdbscan
BS_CMDJJQ7K	0	hdbscan
BS_CS170P7T	0	hdbscan
BS_CTR5X93B	2	hdbscan
BS_CVGFNCBJ	0	hdbscan
BS_CVGPSXV7	0	hdbscan
BS_CX7NH77G	0	hdbscan
BS_D3YBV7KB	0	hdbscan
BS_DEHJF4C7	0	hdbscan
BS_DGWXNSPK	0	hdbscan
BS_DMJHAG9X	1	hdbscan
BS_DMZP9G1H	0	hdbscan
BS_DPF1CX0G	2	hdbscan
BS_DSS3S5XD	0	hdbscan
BS_DV86M0Y7	2	hdbscan
BS_DZ4B5A40	0	hdbscan
BS_DZFV0CFA	0	hdbscan
BS_E0XXZRKS	0	hdbscan
BS_E1B3BKYA	0	hdbscan
BS_E1CGF3KV	0	hdbscan
BS_E2DEWCSK	1	hdbscan
BS_E3EJHXQV	0	hdbscan
BS_E4GC9EXR	0	hdbscan
BS_E4QK839R	0	hdbscan
BS_E6DT3HPT	0	hdbscan
BS_E94QRJDW	2	hdbscan
BS_EBMCTR80	0	hdbscan
BS_ECGQWHNQ	0	hdbscan
BS_EFEZB0ZH	2	hdbscan
BS_EHVYJAVA	0	hdbscan
BS_EMAJ7P3P	0	hdbscan
BS_EN2VK7NY	0	hdbscan
BS_ERJAJ0KA	0	hdbscan
BS_ERJT2RFF	0	hdbscan
BS_ET8CJXSF	0	hdbscan
BS_EXGBH3TD	2	hdbscan
BS_EXYHZ6D4	0	hdbscan
BS_EY2B6KD0	0	hdbscan
BS_EYSS0ZDS	2	hdbscan
