Kids_First_Biospecimen_ID_RNA	sample_id	composition	cluster_assigned	Kids_First_Biospecimen_ID_DNA	tmb
BS_014EVM2D	7316-362	Solid Tissue	1	BS_P3EVK3C2	0.16673761815479202
BS_02NZT8CE	7316-1745	Solid Tissue	1	BS_J5J0EA7Y	1.1115841210319468
BS_044XZ8ST	7316-3570	Solid Tissue	1	BS_QD22MJJ5	0.13894801512899335
BS_063ERW0R	7316-1646	Solid Tissue	2	BS_QZTPJ8YW	0.8336880907739601
BS_06AMMCXR	7316-154	Solid Tissue	1	BS_235QEYMQ	1.3616905482641348
BS_0D5VRAKC	7316-8968	Solid Tissue	2	BS_QTYXH2T2	0.08336880907739601
BS_0J9SHHSC	7316-1090	Solid Tissue	1	BS_QK61ST4T	0.6113712665675708
BS_0JAKSXQP	7316-33	Solid Tissue	3	BS_36HCZ3KW	0.3890544423611814
BS_0SCXXM6N	7316-119	Solid Tissue	1	BS_XSWF2MR1	0.33347523630958403
BS_0T17SY47	7316-183	Solid Tissue	3	BS_0DKPGQWD	0.13894801512899335
BS_0WVJYM9R	7316-370	Solid Tissue	3	BS_ZP89F1JY	0.6113712665675708
BS_0WZKC4JH	7316-6989	Solid Tissue	2	BS_AW1G0X6Y	1.8619034027285108
BS_0X9EGHY2	7316-1744	Solid Tissue	1	BS_03SSN1N2	1.083794518006148
BS_0Y66ZBWE	7316-642	Solid Tissue	3	BS_JSMAT49K	0.25010642723218807
BS_130PVKA7	7316-3564	Solid Tissue	3	BS_5B4D76CC	0.16673761815479202
BS_13CGKADW	7316-148	Solid Tissue	3	BS_NEX92KQH	0.11115841210319467
BS_16KA9ZAW	7316-8723	Solid Tissue	2	BS_SKX6Z2NC	0.16673761815479202
BS_17WYVEEC	7316-332	Solid Tissue	1	BS_GDPZN3SD	0.08336880907739601
BS_1DECYC4K	7316-8126	Solid Tissue	2	BS_5GGBWXAQ	0.13894801512899335
BS_1G3WYEN3	7316-193	Solid Tissue	3	BS_5Z4XQC9X	1.528428166418927
BS_1HYS8CSC	7316-7961	Solid Tissue	2	BS_7AAHZV0E	0.33347523630958403
BS_1JDG6JV5	7316-329	Solid Tissue	2	BS_3AERRZQT	0.6113712665675708
BS_1KYGSMA7	7316-2208	Solid Tissue	1	BS_060QB7XB	0.33347523630958403
