Kids_First_Biospecimen_ID	sample_id	cohort_participant_id	cell_type	fraction	cluster_assigned	method	cluster_feature_mean_score	feature_mean_score	feature_variance	molecular_subtype
BS_014EVM2D	7316-362	C75522	Myeloid dendritic cell activated	0.13803024071091663	1	IntNMF	0.12624876889128317	0.11831709360011683	0.0025129772606747713	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	B cell	0.02163893060827192	1	IntNMF	0.015395883456866285	0.011105065794352829	3.97750232173297e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ memory	0.022463081267969417	1	IntNMF	0.006739243123084527	0.015171221657019054	3.686917563491935e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ naive	0.027441837993902582	1	IntNMF	0.004985989252270947	0.0035461669219925985	5.323694401485619e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ (non-regulatory)	0	1	IntNMF	2.2770177993660653e-4	2.655729347206818e-4	3.141775156764923e-6	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ central memory	1.959848680918406e-18	1	IntNMF	0.02971284677985292	0.01736833620219862	5.926991403897705e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD4+ effector memory	0.004633124987571041	1	IntNMF	0.010277962125908596	0.013260328241489825	4.5710470200343174e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD8+ naive	0.0013304795990166673	1	IntNMF	0.0019521475630694825	0.009432368513169354	1.0600319737753078e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD8+	0	1	IntNMF	0.0019179229772687107	0.0026922238502230097	9.390520944538367e-5	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD8+ central memory	0.0016417084359831352	1	IntNMF	0.004461038409308192	0.006566342857947108	3.66735890936023e-4	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	T cell CD8+ effector memory	0	1	IntNMF	6.527491152737913e-4	4.0882406577871355e-4	8.576531930866003e-6	LGG, other MAPK
BS_014EVM2D	7316-362	C75522	Class-switched memory B cell	0.02792931078049631	1	IntNMF	0.027426773365216175	0.01500891295151236	3.355371950819857e-4	LGG, other MAPK
